Month,division,Line,Day Type,num_on_time_trips,num_sched_trips,terminal_on_time_performance
2015-08-01,B DIVISION,S Fkln,1,2469,2478,0.996368039
2015-08-01,B DIVISION,S Rock,1,3380,3533,0.956694028
2015-09-01,A DIVISION,1,1,7435,9451,0.786689239
2015-09-01,A DIVISION,2,1,2957,6517,0.453736382
2015-09-01,A DIVISION,3,1,4255,6398,0.665051579
2015-09-01,A DIVISION,4,1,3453,7875,0.43847619
2015-09-01,A DIVISION,5,1,2602,6822,0.381413075
2015-09-01,A DIVISION,6,1,5278,11725,0.450149254
2015-09-01,A DIVISION,7,1,10554,12963,0.814163388
2015-09-01,A DIVISION,S 42nd,1,12197,12291,0.992352128
2015-09-01,B DIVISION,A,1,4993,8030,0.621793275
2015-09-01,B DIVISION,B,1,3514,4326,0.812297735
2015-09-01,B DIVISION,C,1,3062,4200,0.729047619
2015-09-01,B DIVISION,D,1,4124,5562,0.741459907
2015-09-01,B DIVISION,E,1,5397,8304,0.649927746
2015-09-01,B DIVISION,F,1,4541,8004,0.567341329
2015-09-01,B DIVISION,G,1,4066,6018,0.675639747
2015-09-01,B DIVISION,JZ,1,4026,5736,0.701882845
2015-09-01,B DIVISION,L,1,10082,10644,0.947200301
2015-09-01,B DIVISION,M,1,4138,5586,0.740780523
2015-09-01,B DIVISION,N,1,3719,5586,0.665771572
2015-09-01,B DIVISION,Q,1,4395,5625,0.781333333
2015-09-01,B DIVISION,R,1,3755,5964,0.629610999
2015-09-01,B DIVISION,S Fkln,1,2475,2478,0.998789346
2015-09-01,B DIVISION,S Rock,1,3385,3514,0.963289698
2015-10-01,A DIVISION,1,1,7194,9932,0.724325413
2015-10-01,A DIVISION,2,1,2794,6804,0.4106408
2015-10-01,A DIVISION,3,1,4131,6704,0.616199284
